ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
bera,,274,brq,brf,{},1.5,30.03,Africa,,Bera,2680,False,False
berber (ayt seghrouchen middle atlas),,4,bse,tzm,{},33.3333333333,-4.66666666667,Africa,,Berber (Ayt Seghrouchen Middle Atlas),863,False,False
berber (chaouia),,4,bch,shy,{},35.0,7.0,Africa,,Berber (Chaouia),1020,False,False
berber (figuig),,4,bfg,,{},32.5,-1.5,,,Berber (Figuig),1975,False,False
berber (middle atlas),,4,bma,tzm,{},33.0,-5.0,Africa,,Berber (Middle Atlas),2473,True,True
berber (mzab),,4,bmz,mzb,{},32.5,3.5,Africa,,Berber (Mzab),287,False,False
berber (rif),,4,brf,rif,{},34.5,-4.0,Africa,,Berber (Rif),1826,False,False
berber (siwa),,4,bsi,siz,{},29.1666666667,25.5,Africa,,Berber (Siwa),915,False,False
berber (wargla),,4,bou,oua,{},31.9166666667,5.33333333333,Africa,,Berber (Wargla),33,False,False
berbice dutch creole,,331,bdc,brc,{},5.33333333333,-58.0,South America,,Berbice Dutch Creole,782,False,False
beria,,312,zag,zag,{},16.0,23.0,Africa,,Beria,2599,False,False
berik,,423,brk,bkl,{},-2.25,138.833333333,Papunesia,,Berik,972,False,False
berta,,319,ber,wti,{},10.3333333333,34.6666666667,Africa,,Berta,2132,False,False
bete,,277,bet,bev,{},6.25,-6.25,Africa,,Bété,1539,False,False
betoi,,109,bti,,{},7.16666666667,-71.25,South America,,Betoi,1021,False,False
betta kurumba,,149,bkb,xub,{},11.5,76.75,Eurasia,,Betta Kurumba,2606,False,False
bezhta,,269,bez,kap,{},42.0833333333,46.1666666667,Eurasia,,Bezhta,783,False,False
bhili,,182,bhi,bhb,{},22.0,73.0,Eurasia,,Bhili,658,False,False
bhojpuri,,182,bho,bho,{},26.0,84.0,Eurasia,,Bhojpuri,1790,False,False
bhumij,,66,bhu,unr,{},21.3333333333,86.5,Eurasia,,Bhumij,1022,False,False
biafada,,820,bfd,bif,{},11.4166666667,-15.1666666667,Africa,,Biafada,34,False,False
biak,,79,bik,bhw,{},-1.0,136.0,Papunesia,,Biak,864,False,False
biatah,,95,bit,bth,{},1.25,110.0,Papunesia,,Biatah,35,False,False
bidiya,,2,bid,bid,{},11.9166666667,18.75,Africa,,Bidiya,1442,False,False
bikol,,513,bkl,bcl,{},13.3333333333,123.5,Papunesia,,Bikol,1672,False,False
bila,,274,bia,bip,{},1.0,28.75,Africa,,Bila,1103,False,False
bilaan (koronadal),,517,biq,bpr,{},6.0,125.333333333,Papunesia,,Bilaan (Koronadal),36,False,False
bilin,,7,bln,byn,{},15.75,38.5,Africa,,Bilin,1922,False,False
bilinarra,,793,bnr,nbj,{},-16.0,131.666666667,Australia,,Bilinarra,916,False,False
biloxi,,391,blx,bll,{},30.5,-88.6666666667,North America,,Biloxi,1949,False,False
bilua,,398,bil,blb,{},-7.75,156.666666667,Papunesia,,Bilua,1748,False,False
bima,,75,bim,bhp,{},-8.5,118.5,Papunesia,,Bima,514,False,False
bimoba,,808,bmb,bim,{},10.5,0.0,Africa,,Bimoba,1673,False,False
binandere,,442,bin,bhg,{},-8.25,148.0,Papunesia,,Binandere,1443,False,False
binga,,305,big,yul,{},8.0,25.0,Africa,,Binga,865,False,False
bini,,295,bni,bin,{},6.41666666667,5.83333333333,Africa,,Bini,1384,False,False
bininj gunwok,,44,bbw,gup,{},-12.5,133.75,Australia,,Bininj Gun-Wok,2172,False,False
binukid,,513,bkd,bkd,{},8.25,124.833333333,Papunesia,,Binukid,515,False,False
binumarien,,430,bnm,bjr,{},-6.28333333333,146.083333333,Papunesia,,Binumarien,659,False,False
biri,,794,bii,bzr,{},-20.5,146.5,Australia,,Biri,1749,False,False
birom,,283,bir,bom,{},9.66666666667,8.83333333333,Africa,,Birom,2202,False,False
birri,,305,brz,bvq,{},5.5,25.1666666667,Africa,,Birri,288,False,False
bisa,,273,bis,bib,{},11.5,-0.5,Africa,,Bisa,1348,False,False
bislama,,331,bsm,bis,{},-16.0,168.0,Papunesia,,Bislama,289,False,False
bisu,,380,biu,"bzi, lwm",{},19.75,100.0,Eurasia,,Bisu,1217,False,False
blackfoot,,17,bla,bla,{},50.0,-112.666666667,North America,,Blackfoot,2091,False,False
boazi,,829,boa,kvg,{},-7.0,141.333333333,Papunesia,,Boazi,1104,False,False
bobangi,,274,bob,bni,{},-1.33333333333,17.3333333333,Africa,,Bobangi,1218,False,False
bobo madare (northern),,292,bbf,bbo,{},12.4166666666667,-4.3333333333333,Africa,,Bobo Madaré (Northern),1219,False,False
bodo,,383,bod,brx,{},26.8333333333,92.0,Eurasia,,Bodo,2072,False,False
boiken,,826,boi,bzf,{},-3.5,143.5,Papunesia,,Boiken,516,False,False
bokar,,382,boq,adi,{},28.5,94.6666666667,Eurasia,,Bokar,784,False,False
boko,,273,bok,bqc,{},10.5,3.5,Africa,,Boko,917,False,False
bole,,6,blq,bol,{},11.3333333333,11.25,Africa,,Bole,517,False,False
bolia,,274,bol,bli,{},-1.25,18.3333333333,Africa,,Bolia,1023,False,False
bongo,,305,bgo,bot,{},7.5,28.5,Africa,,Bongo,1674,False,False
bongu,,437,bon,bpu,{},-5.5,145.916666667,Papunesia,,Bongu,1297,False,False
bontok,,514,btk,bnc,{},17.0833333333,120.916666667,Papunesia,,Bontok,1791,False,False
bora,,179,bor,boa,{},-2.16666666667,-72.3333333333,South America,,Bora,866,False,False
bori,,382,boj,adi,{},28.3333333333,94.75,Eurasia,,Bori,1024,False,False
bororo,,242,brr,bor,{},-16.0,-57.0,South America,,Bororo,2247,False,False
boruca,,123,brc,brn,{},8.83333333333,-83.25,North America,,Boruca,290,False,False
bosnian,,185,bos,bos,{},43.0,18.0,Eurasia,,Bosnian,37,False,False
bozo (tigemaxo),,292,boz,boz,{},15.0,-4.0,Africa,,Bozo (Tigemaxo),867,False,False
brahui,,150,brh,brh,{},28.5,67.0,Eurasia,,Brahui,2412,False,True
brao,,63,bra,brb,{},14.1666666667,107.5,Eurasia,,Brao,1827,False,False
breton,,187,bre,bre,{},48.0,-3.0,Eurasia,,Breton,2299,False,False
bribri,,123,bri,bzd,{},9.41666666667,-83.0,North America,,Bribri,2310,False,True
british sign language,,330,bsl,bfi,{},52.0,-1.0,Eurasia,,British Sign Language,291,False,False
broken,,331,bro,tcs,{},-10.1666666667,143.0,Australia,,Broken,918,False,False
brokskat,,182,bkt,bkk,{},35.3333333333,76.5,Eurasia,,Brokskat,1161,False,False
bru (eastern),,72,bru,bru,{},17.3333333333,106.0,Eurasia,,Bru (Eastern),38,False,False
bru (western),,72,brw,brv,{},16.75,104.75,Eurasia,,Bru (Western),1220,False,False
bubi,,274,bub,bvb,{},3.5,8.66666666667,Africa,,Bubi,919,False,False
budu,,274,bdu,buu,{},2.0,28.0,Africa,,Budu,2594,False,False
budukh,,267,bdk,bdk,{},41.1666666667,48.4166666667,Eurasia,,Budukh,785,False,False
buduma,,5,bud,bdm,{},13.5,14.5,Africa,,Buduma,1991,False,False
bugis,,525,bug,bug,{},-4.0,120.0,Papunesia,,Bugis,1298,False,False
buglere,,122,bgl,sab,{},8.5,-81.25,North America,,Buglere,660,False,False
bugun,,374,bgn,,{},27.5,92.5833333333,Eurasia,,Bugun,1063,False,False
buin,,152,bun,buo,{},-6.75,155.75,Papunesia,,Buin,973,False,False
bujeba,,274,buj,nmg,{},3.0,10.1666666667,Africa,,Bujeba,292,False,False
bukusu,,274,buk,bxk,{},0.75,34.6666666667,Africa,,Bukusu,518,False,False
bularnu,,793,bnu,,{},-21.0,138.0,Australia,,Bularnu,1162,False,False
bulgarian,,185,bul,bul,{},42.5,25.0,Eurasia,,Bulgarian,2357,False,False
buli (in ghana),,808,buy,bwu,{},10.5,-1.25,Africa,,Buli (in Ghana),39,False,False
buli (in indonesia),,79,bui,bzq,{},1.0,128.5,Papunesia,,Buli (in Indonesia),1105,False,False
bulu,,274,buw,bum,{},3.0,11.0,Africa,,Bulu,519,False,False
buma,,87,bum,tkw,{},-11.6333333333,166.833333333,Papunesia,,Buma,1675,False,False
bunan,,389,ghr,bfu,{},32.5,77.0,Eurasia,,Bunan,982,False,False
bunuba,,30,bnb,bck,{},-17.75,125.75,Australia,,Bunuba,1385,False,False
bunu (younuo),,169,pnu,buh,{},24.0,107.0,Eurasia,,Bunu (Younuo),1418,False,False
burapabir,,5,bpa,bwr,{},10.5,12.25,Africa,,Bura-Pabir,40,False,False
burarra,,31,bua,bvr,{},-12.25,134.583333333,Australia,,Burarra,1923,False,False
buriat,,20,but,bxm,{},52.0,108.0,Eurasia,,Buriat,2148,False,False
burji,,698,brj,bji,{},5.5,37.8333333333,Africa,,Burji,661,False,False
burmese,,380,brm,mya,{},21.0,96.0,Eurasia,,Burmese,2496,True,True
buru,,75,buu,mhs,{},-3.5,126.5,Papunesia,,Buru,1676,False,False
burum,,434,bmr,bmu,{},-6.5,147.333333333,Papunesia,,Burum,662,False,False
burunge,,1,brn,bds,{},-5.33333333333,36.0,Africa,,Burunge,2038,False,False
burushaski,,113,bur,bsk,{},36.5,74.5,Eurasia,,Burushaski,2507,True,True
busa,,273,bus,bqp,{},9.66666666667,4.0,Africa,,Busa,1498,False,False
bushoong,,274,bsh,buf,{},-4.5,21.5,Africa,,Bushoong,1588,False,False
byansi,,389,bya,bee,{},30.1666666667,80.5,Eurasia,,Byansi,2056,False,False
cabecar,,123,cab,cjp,{},9.75,-83.4166666667,North America,,Cabécar,293,False,False
cacua,,114,cac,cbv,{},1.08333333333,-70.0,South America,,Cacua,1349,False,False
caddo,,115,cad,cad,{},33.3333333333,-93.5,North America,,Caddo,1221,False,False
cahuilla,,800,cah,chl,{},33.5,-116.25,North America,,Cahuilla,2413,False,True
cakchiquel,,250,cak,cak,{},14.5,-91.0,North America,,Cakchiquel,1716,False,False
camling,,512,cml,rab,{},27.0,86.6666666667,Eurasia,,Camling,1386,False,False
campa (axininca),,536,cax,"cni, cpc",{},-12.0,-74.0,South America,,Campa (Axininca),2312,False,False
campa pajonal asheninca,,536,cpa,cjo,{},-10.6666666667,-74.25,South America,,Campa Pajonal Asheninca,786,False,False
camsa,,117,cam,kbh,{},1.16666666667,-77.0,South America,,Camsá,1792,False,False
canamari,,206,cnm,knm,{},-6.5,-68.5,South America,,Canamarí,294,False,False
candoshi,,118,can,cbu,{},-4.16666666667,-77.0,South America,,Candoshi,1589,False,False
canela,,238,cnl,ram,{},-7.0,-45.0,South America,,Canela,295,False,False
cantonese,,375,cnt,yue,{},23.0,113.0,Eurasia,,Cantonese,2366,False,False
capanahua,,342,cap,kaq,{},-7.0,-74.0,South America,,Capanahua,1299,False,False
carapana,,452,crp,cbc,{},0.833333333333,-70.75,South America,,Carapana,1350,False,False
carib,,119,car,car,{},5.5,-56.0,South America,,Carib,2378,False,True
carib (dekwana),,119,cde,mch,{},5.5,-65.0,South America,,Carib (De'kwana),1636,False,False
carijona,,119,crj,cbd,{},1.0,-73.0,South America,,Carijona,663,False,False
carolinian,,87,crl,cal,{},15.2,145.75,Papunesia,,Carolinian,296,False,False
carrier,,262,crq,crx,{},53.75,-123.5,North America,,Carrier,664,False,False
cashibo,,342,cas,cbr,{},-8.5,-75.5,South America,,Cashibo,1499,False,False
cashinahua,,342,csh,cbs,{},-10.5,-71.8333333333,South America,,Cashinahua,1025,False,False
catalan,,184,ctl,cat,{},41.75,2.0,Eurasia,,Catalan,2226,False,False
catawba,,803,ctw,chc,{},35.5,-80.5,North America,,Catawba,1106,False,False
catio,,135,cat,cto,{},7.16666666667,-76.3333333333,South America,,Catio,297,False,False
cavinena,,403,cav,cav,{},-13.3333333333,-66.5,South America,,Cavineña,1500,False,False
cayapa,,106,cay,cbi,{},0.666666666667,-79.0,South America,,Cayapa,2057,False,False
cayuga,,192,cyg,cay,{},42.75,-76.75,North America,,Cayuga,787,False,False
cayuvava,,120,cyv,cyb,{},-13.5,-65.5,South America,,Cayuvava,2389,False,True
cebuano,,513,ceb,ceb,{},10.0,124.0,Papunesia,,Cebuano,2018,False,False
cemuhi,,87,cem,cam,{},-20.8333333333,165.166666667,Papunesia,,Cèmuhî,1862,False,False
chacobo,,342,cbo,cao,{},-12.1666666667,-66.75,South America,,Chácobo,2123,False,False
chaga,,274,cga,old,{},-3.0,37.0,Africa,,Chaga,974,False,False
chaha,,10,chh,sgw,{},8.112935,37.93267,Africa,,Chaha,1863,False,False
chai,,322,cai,suq,{},5.33333333333,35.3333333333,Africa,,Chai,1677,False,False
chaldean (modern),,10,cld,cld,{},36.0,43.0,Eurasia,,Chaldean (Modern),1387,False,False
chamalal,,269,chm,cji,{},42.55,46.05,Eurasia,,Chamalal,520,False,False
chambri,,231,chb,can,{},-4.16666666667,143.083333333,Papunesia,,Chambri,975,False,False
cham (eastern),,519,cme,cjm,{},11.3333333333,108.5,Eurasia,,Cham (Eastern),1064,False,False
chamorro,,74,cha,cha,{},13.45,144.75,Papunesia,,Chamorro,2508,True,True
cham (western),,519,chw,cja,{},12.0,105.5,Eurasia,,Cham (Western),1924,False,False
chang,,388,chg,nbc,{},26.3333333333,94.75,Eurasia,,Chang,1750,False,False
chantyal,,389,chn,chx,{},28.5833333333,83.4166666667,Eurasia,,Chantyal,1828,False,False
chasta costa,,262,cco,,{},42.6666666667,-124.0,North America,,Chasta Costa,298,False,False
chatino (nopala),,332,cht,cya,{},16.0833333333,-97.1666666667,North America,,Chatino (Nopala),42,False,False
chatino (sierra occidental),,332,cso,ctp,{},16.25,-97.3333333333,North America,,Chatino (Sierra Occidental),2133,False,False
chatino (tataltepec),,332,ctt,cta,{},16.1666666667,-97.5833333333,North America,,Chatino (Tataltepec),299,False,False
chatino (yaitepec),,332,cya,ctp,{},16.25,-97.25,North America,,Chatino (Yaitepec),1717,False,False
chaudangsi,,389,chd,cdn,{},30.0,80.25,Eurasia,,Chaudangsi,976,False,False
chavacano,,331,cvc,cbk,{},7.0,122.083333333,Papunesia,,Chavacano,788,False,False
chayahuita,,116,chy,cbt,{},-5.5,-77.0,South America,,Chayahuita,1163,False,False
chechen,,268,chc,che,{},43.25,45.8333333333,Eurasia,,Chechen,2149,False,False
chehalis (upper),,364,chl,cjh,{},46.5833333333,-123.0,North America,,Chehalis (Upper),1637,False,False
cheke holo,,87,ckh,mrn,{},-8.33333333333,159.666666667,Papunesia,,Cheke Holo,43,False,False
chemakum,,131,cmk,xch,{},48.0833333333,-122.916666667,North America,,Chemakum,300,False,False
chemehuevi,,477,cmh,ute,{},34.3333333333,-115.166666667,North America,,Chemehuevi,2134,False,False
chepang,,512,cpn,cdm,{},27.6666666667,84.75,Eurasia,,Chepang,1829,False,False
cherokee,,191,che,chr,{},35.5,-83.5,North America,,Cherokee,2214,False,False
cheyenne,,17,cyn,chy,{},47.0,-95.0,North America,,Cheyenne,920,False,False
chichewa,,274,cic,nya,{},-14.0,34.0,Africa,,Chichewa,1950,False,False
chichimecajonaz,,340,cjo,pei,{},21.6666666667,-100.5,North America,,Chichimeca-Jonaz,1065,False,False
chickasaw,,260,cck,cic,{},34.0,-88.0,North America,,Chickasaw,1444,False,False
chicomuceltec,,250,cec,cob,{},15.5,-92.25,North America,,Chicomuceltec,301,False,False
chimariko,,172,chi,cid,{},41.0,-123.0,North America,,Chimariko,1889,False,False
chimila,,129,cma,cbg,{},10.0,-74.0,South America,,Chimila,302,False,False
chinantec (comaltepec),,335,ccm,cco,{},17.5833333333,-96.4166666667,North America,,Chinantec (Comaltepec),2039,False,False
chinantec (lealao),,335,cle,cle,{},17.3333333333,-95.9166666667,North America,,Chinantec (Lealao),2414,False,True
chinantec (palantla),,335,cpl,cpa,{},18.8333333333,-96.75,North America,,Chinantec (Palantla),1890,False,False
chinantec (quiotepec),,335,chq,chq,{},17.5833333333,-96.6666666667,North America,,Chinantec (Quiotepec),2073,False,False
chinantec (san felipe usila),,335,csf,cuc,{},17.9166666667,-96.5,North America,,Chinantec (San Felipe Usila),303,False,False
chinantec (sochiapan),,335,csc,cso,{},17.75,-96.6666666667,North America,,Chinantec (Sochiapan),44,False,False
chinantec (tepetotutla),,335,cte,cnt,{},17.8333333333,-96.5,North America,,Chinantec (Tepetotutla),304,False,False
chinese sign language,,330,csl,csl,{},35.0,115.0,Eurasia,,Chinese Sign Language,305,False,False
chin (mara),,386,cmr,mrh,{},23.0,93.1666666667,Eurasia,,Chin (Mara),1751,False,False
chinook (lower),,346,ckl,chh,{},46.25,-123.5,North America,,Chinook (Lower),1793,False,False
chinook upper,,346,cku,wac,{},45.62,-121.16,North America,,Chinook (Upper),1590,False,False
chin (siyin),,386,chs,csy,{},23.8333333333,94.0,Eurasia,,Chin (Siyin),1752,False,False
chin (tiddim),,386,cti,ctd,{},23.3333333333,93.6666666667,Eurasia,,Chin (Tiddim),2019,False,False
chipaya,,470,cpy,cap,{},-18.75,-67.8333333333,South America,,Chipaya,2667,False,False
chipewyan,,262,chp,chp,{},59.0,-106.0,North America,,Chipewyan,2058,False,False
chippewa (red lake and pillager),,17,cpw,ciw,{},48.0,-95.0,North America,,Chippewa (Red Lake and Pillager),45,False,False
chiquitano,,133,cqt,cax,{},-17.5,-60.0,South America,,Chiquitano,1222,False,False
chiriguano,,457,crg,gui,{},-23.6666666667,-64.3333333333,South America,,Chiriguano,921,False,False
chitimacha,,134,ctm,ctm,{},29.6666666667,-91.0,North America,,Chitimacha,2040,False,False
chocho,,339,cch,coz,{},17.6666666667,-97.4166666667,North America,,Chocho,977,False,False
choctaw,,260,cct,cho,{},32.25,-88.5,North America,,Choctaw,2186,False,False
chol,,250,col,"cti, ctu",{},17.75,-92.5,North America,,Chol,789,False,False
cholon,,136,cln,"cht, clh",{},-8.0,-77.5,South America,,Cholón,1066,False,False
chontal (highland),,413,cho,chd,{},16.25,-95.75,North America,,Chontal (Highland),1107,False,False
chontal (huamelultec oaxaca),,413,chx,clo,{},16.0,-95.75,North America,,Chontal (Huamelultec Oaxaca),1540,False,False
chontal maya,,250,cmy,chf,{},18.1666666667,-92.5833333333,North America,,Chontal Maya,1925,False,False
chorote,,249,crt,"crq, crt",{},-22.5,-62.5,South America,,Chorote,868,False,False
chorti,,250,coi,caa,{},14.8333333333,-89.25,North America,,Chortí,665,False,False
chrau,,63,chr,crw,{},10.75,107.5,Eurasia,,Chrau,2234,False,False
chru,,519,crh,cje,{},11.5,108.5,Eurasia,,Chru,46,False,False
chuave,,438,cve,cjv,{},-6.11666666667,145.116666667,Papunesia,,Chuave,1108,False,False
chuj,,250,chj,"cac, cnm",{},15.9166666667,-91.5833333333,North America,,Chuj,1109,False,False
chukchi,,139,chk,ckt,{},67.0,-173.0,Eurasia,,Chukchi,2509,True,True
chulym,,19,cly,clw,{},54.3333333333,89.6666666667,Eurasia,,Chulym,47,False,False
chumash (barbareno),,141,cba,boi,{},34.5,-120.25,North America,,Chumash (Barbareño),1951,False,False
chumash (ineseno),,141,cin,inz,{},34.6666666667,-120.25,North America,,Chumash (Ineseño),1110,False,False
chumburung,,275,cum,ncu,{},7.75,0.25,Africa,,Chumburung,666,False,False
chuukese,,87,cuu,chk,{},7.33333333333,151.75,Papunesia,,Chuukese,1026,False,False
chuvash,,19,chv,chv,{},55.5,47.5,Eurasia,,Chuvash,2344,False,False
ciluba,,274,cil,lua,{},-6.0,22.0,Africa,,CiLuba,1501,False,False
clallam,,360,cla,clm,{},48.0833333333,-123.75,North America,,Clallam,667,False,False
coahuilteco,,142,coa,xcw,{},28.0,-100.0,North America,,Coahuilteco,1223,False,False
cocama,,457,coc,cod,{},-5.0,-74.5,South America,,Cocama,1926,False,False
cocopa,,170,ccp,coc,{},32.3333333333,-115.0,North America,,Cocopa,2092,False,False
coeur dalene,,362,coe,crd,{},47.25,-116.5,North America,,Coeur d'Alene,1164,False,False
cofan,,143,cof,con,{},0.166666666667,-77.1666666667,South America,,Cofán,1445,False,False
cogui,,130,cog,kog,{},11.0,-73.8333333333,South America,,Cogui,668,False,False
colac,,791,clc,,{},-38.3333333333,143.5,Australia,,Colac,306,False,False
columbiawenatchi,,362,cwe,col,{},47.5,-120.0,North America,,Columbia-Wenatchi,48,False,False
comanche,,477,cmn,com,{},33.5,-101.5,North America,,Comanche,2419,False,True
comecrudo,,144,cmc,xcm,{},25.8333333333,-99.0,North America,,Comecrudo,307,False,False
comorian,,274,com,swb,{},-12.0,44.0,Africa,,Comorian,308,False,False
comox,,360,cmx,coo,{},50.1666666667,-125.0,North America,,Comox,1446,False,False
coos (hanis),,327,coo,csz,{},43.5,-124.166666667,North America,,Coos (Hanis),2427,False,True
coptic,,8,cop,cop,{},26.0,32.0,Africa,,Coptic,2187,False,False
cora,,471,cor,crn,{},22.1666666667,-104.833333333,North America,,Cora,2020,False,False
cornish,,187,crn,cor,{},50.3333333333,-5.0,Eurasia,,Cornish,1992,False,False
creek,,260,crk,mus,{},34.0,-85.0,North America,,Creek,922,False,False
cree (plains),,17,cre,crk,{},54.0,-110.0,North America,,Cree (Plains),2428,True,True
cree (swampy),,17,cea,csw,{},56.0,-90.0,North America,,Cree (Swampy),1591,False,False
crimean tatar,,19,cri,crh,{},45.0,34.0833333333,Eurasia,,Crimean Tatar,1067,False,False
crow,,391,cro,cro,{},47.0,-108.0,North America,,Crow,1541,False,False
cua,,63,cua,cua,{},15.25,108.5,Eurasia,,Cua,869,False,False
cubeo,,452,cub,cub,{},1.33333333333,-70.5,South America,,Cubeo,2259,False,False
cuiba,,164,cui,cui,{},6.5,-70.0,South America,,Cuiba,1165,False,False
cuica,,418,cuc,,{},9.0,-70.5,South America,,Cuica,979,False,False
cuicatec,,334,ctc,"cut, cux",{},17.8333333333,-96.8333333333,North America,,Cuicatec,309,False,False
cuitlatec,,145,cut,,{},17.5,-101.0,North America,,Cuitlatec,310,False,False
culina,,24,cul,cul,{},-6.0,-70.5,South America,,Culina,790,False,False
cupeno,,800,cup,cup,{},33.1666666667,-116.5,North America,,Cupeño,669,False,False
curripaco,,781,cur,kpc,{},2.5,-68.5,South America,,Curripaco,311,False,False
czech,,185,cze,ces,{},50.0,15.0,Eurasia,,Czech,2215,False,False
daa,,526,daa,kzf,{},-1.0,119.583333333,Papunesia,,Da'a,521,False,False
daba,,5,dab,"dbq, dkx",{},10.1666666667,13.75,Africa,,Daba,522,False,False
dabida,,274,dbd,dav,{},-4.0,38.6666666667,Africa,,Dabida,670,False,False
dadibi,,411,dad,mps,{},-6.55,144.583333333,Papunesia,,Dadibi,1224,False,False
dadjriwale,,277,ddj,god,{},5.25,-5.66666666667,Africa,,Dadjriwalé,2579,False,False
daga,,146,dag,dgz,{},-10.0,149.333333333,Papunesia,,Daga,2408,True,True
dagaare,,808,dga,dga,{},10.5,-2.66666666667,Africa,,Dagaare,1864,False,False
dagbani,,808,dgb,dag,{},9.58333333333,-0.5,Africa,,Dagbani,2188,False,False
dagur,,20,dgr,dta,{},48.0,124.0,Eurasia,,Dagur,2260,False,False
dahalo,,699,dah,dal,{},-2.33333333333,40.5,Africa,,Dahalo,1447,False,False
daju (dar fur),,318,ddf,daj,{},12.25,25.25,Africa,,Daju (Dar Fur),1225,False,False
dakota,,391,dak,dak,{},45.0,-93.5,North America,,Dakota,870,False,False
damana,,130,dam,mbp,{},11.0,-73.5,South America,,Damana,1351,False,False
dan,,273,dan,dnj,{},7.5,-8.0,Africa,,Dan,2074,False,False
dangaleat (western),,2,dnw,daa,{},12.1666666667,18.3333333333,Africa,,Dangaléat (Western),1226,False,False
dani (lower grand valley),,432,dni,dni,{},-4.33333333333,138.833333333,Papunesia,,Dani (Lower Grand Valley),2424,True,True
danish,,181,dsh,dan,{},56.0,10.0,Eurasia,,Danish,2216,False,False
darai,,182,dar,dry,{},24.0,84.0,Eurasia,,Darai,1227,False,False
dargwa,,266,drg,dar,{},42.25,47.4166666667,Eurasia,,Dargwa,1678,False,False
dari,,183,dri,prs,{},35.0,66.0,Eurasia,,Dari,791,False,False
darma,,389,drm,drd,{},30.0,79.75,Eurasia,,Darma,1542,False,False
datooga,,320,dat,tcc,{},-4.33333333333,35.3333333333,Africa,,Datooga,312,False,False
daw,,261,daw,kwa,{},-0.25,-67.0833333333,South America,,Dâw,1301,False,False
day,,812,day,dai,{},8.75,17.8333333333,Africa,,Day,1302,False,False
defaka,,288,def,afn,{},4.58333333333,7.5,Africa,,Defaka,523,False,False
degema,,295,deg,deg,{},4.75,6.75,Africa,,Degema,1388,False,False
degexitan,,262,dgx,ing,{},62.0,-160.0,North America,,Degexit'an,313,False,False
deni,,24,den,dny,{},-6.0,-67.0,South America,,Dení,524,False,False
desano,,452,des,des,{},0.833333333333,-69.8333333333,South America,,Desano,1027,False,False
deti,,210,det,shg,{},-20.5,24.5,Africa,,Deti,1228,False,False
deuri,,383,deu,der,{},26.0,90.25,Eurasia,,Deuri,1111,False,False
deutsche gebardensprache,,330,dge,gsg,{},52.0,11.0,Eurasia,,Deutsche Gebärdensprache,525,False,False
dhaasanac,,698,dha,dsh,{},4.66666666667,36.3333333333,Africa,,Dhaasanac,1502,False,False
dhalandji,,793,dhl,dhl,{},-22.08,115.0,Australia,,Dhalandji,2560,False,False
dharawal,,791,dhw,tbh,{},-34.5,150.5,Australia,,Dharawal,1028,False,False
dhargari,,793,dhr,dhr,{},-23.75,114.916666667,Australia,,Dhargari,1448,False,False
dharumbal,,794,dhb,bjy,{},-22.75,150.5,Australia,,Dharumbal,1029,False,False
dhimal,,511,dhm,dhi,{},26.6666666667,87.75,Eurasia,,Dhimal,50,False,False
dhivehi,,182,dhi,div,{},4.16666666667,73.5,Eurasia,,Dhivehi,1112,False,False
dhurga,,791,dhu,dhu,{},-35.6666666667,150.0,Australia,,Dhurga,671,False,False
dhuwal (datiwuy),,793,dda,duj,{},-12.1666666667,136.25,Australia,,Dhuwal (Dätiwuy),51,False,False
didinga,,322,did,did,{},4.5,33.5,Africa,,Didinga,1927,False,False
diegueno (mesa grande),,170,die,dih,{},32.6666666667,-116.166666667,North America,,Diegueño (Mesa Grande),2327,False,False
digaro,,376,dig,mhu,{},28.4166666667,96.0,Eurasia,,Digaro,1928,False,False
dii,,815,ygd,dur,{},8.0,14.0,Africa,,Dii,250,False,False
dimasa,,383,dms,dis,{},25.5,93.0,Eurasia,,Dimasa,1449,False,False
dime,,9,dim,dim,{},6.16666666667,36.25,Africa,,Dime,1543,False,False
ding,,274,dng,diz,{},-4.33333333333,19.5,Africa,,Ding,526,False,False
dinka,,320,din,dip,{},8.5,28.0,Africa,,Dinka,2203,False,False
diolafogny,,818,dio,dyo,{},13.0,-16.25,Africa,,Diola-Fogny,2390,False,True
diolakasa,,818,csk,csk,{},12.5,-16.75,Africa,,Diola-Kasa,2553,False,False
diyari,,792,diy,dif,{},-28.0,139.0,Australia,,Diyari,2328,False,False
dizi,,594,diz,mdx,{},6.16666666667,36.5,Africa,,Dizi,2075,False,False
djabugay,,794,dja,dyy,{},-16.75,145.583333333,Australia,,Djabugay,1450,False,False
djambarrpuyngu,,793,djm,djr,{},-12.1666666667,135.5,Australia,,Djambarrpuyngu,1503,False,False
djapu,,793,djp,duj,{},-12.6666666667,136.0,Australia,,Djapu,2248,False,False
djaru,,793,djr,ddj,{},-18.75,128.0,Australia,,Djaru,2021,False,False
djinang,,793,djn,dji,{},-12.3333333333,134.833333333,Australia,,Djinang,1303,False,False
djingili,,796,dji,jig,{},-17.75,134.0,Australia,,Djingili,2059,False,False
dla (menggwa),,365,dlm,kbv,{},-3.55,141.033333333,Papunesia,,Dla (Menggwa),2647,False,False
dla (proper),,365,der,kbv,{},-3.58333333333,141.0,Papunesia,,Dla (Proper),1753,False,False
dobel,,75,dob,kvo,{},-6.25,134.666666667,Papunesia,,Dobel,792,False,False
